seat_config,class_size,rho0,delta_lambda,trial,status,completed_at
inner_corner,128,0.4,0.2,1,done,2026-07-24T00:20:20.350
inner_corner,128,0.4,0.3,1,done,2026-07-24T00:20:33.713
inner_corner,128,0.4,0.4,1,done,2026-07-24T00:20:57.889
inner_corner,32,0.5,0.0,1,done,2026-07-24T00:20:57.928
inner_corner,32,0.5,0.1,1,done,2026-07-24T00:20:57.953
inner_corner,32,0.5,0.2,1,done,2026-07-24T00:20:58
inner_corner,32,0.5,0.3,1,done,2026-07-24T00:20:58.068
inner_corner,32,0.5,0.4,1,done,2026-07-24T00:20:58.099
inner_corner,48,0.5,0.0,1,done,2026-07-24T00:21:00.088
inner_corner,48,0.5,0.1,1,done,2026-07-24T00:21:01.268
inner_corner,48,0.5,0.2,1,done,2026-07-24T00:21:02.320
inner_corner,48,0.5,0.3,1,done,2026-07-24T00:21:03.975
inner_corner,48,0.5,0.4,1,done,2026-07-24T00:21:05.480
inner_corner,64,0.5,0.0,1,done,2026-07-24T00:21:09.204
inner_corner,64,0.5,0.1,1,done,2026-07-24T00:21:11.679
inner_corner,64,0.5,0.2,1,done,2026-07-24T00:21:13.829
inner_corner,64,0.5,0.3,1,done,2026-07-24T00:21:16.367
inner_corner,64,0.5,0.4,1,done,2026-07-24T00:21:20.783
inner_corner,96,0.5,0.0,1,done,2026-07-24T00:21:32.424
inner_corner,96,0.5,0.1,1,done,2026-07-24T00:21:43.918
inner_corner,96,0.5,0.2,1,done,2026-07-24T00:21:52.588
inner_corner,96,0.5,0.3,1,done,2026-07-24T00:21:57.560
inner_corner,96,0.5,0.4,1,done,2026-07-24T00:22:02.023
inner_corner,128,0.5,0.0,1,done,2026-07-24T00:22:14.027
inner_corner,128,0.5,0.1,1,done,2026-07-24T00:22:26.202
inner_corner,128,0.5,0.2,1,done,2026-07-24T00:22:35.837
inner_corner,128,0.5,0.3,1,done,2026-07-24T00:22:49.353
inner_corner,128,0.5,0.4,1,done,2026-07-24T00:23:12.810
inner_corner,32,0.6,0.0,1,done,2026-07-24T00:23:12.838
inner_corner,32,0.6,0.1,1,done,2026-07-24T00:23:12.915
inner_corner,32,0.6,0.2,1,done,2026-07-24T00:23:12.937
inner_corner,32,0.6,0.3,1,done,2026-07-24T00:23:13.013
