class_length,rho0,delta_lambda,trial,status,completed_at
96,0.6,0.4,2,done,2026-07-23T23:59:30.242
128,0.6,0.0,2,done,2026-07-23T23:59:35.270
128,0.6,0.1,2,done,2026-07-23T23:59:41.084
128,0.6,0.2,2,done,2026-07-23T23:59:45.968
128,0.6,0.3,2,done,2026-07-23T23:59:49.010
128,0.6,0.4,2,done,2026-07-23T23:59:52.834
32,0.7,0.0,2,done,2026-07-23T23:59:52.842
32,0.7,0.1,2,done,2026-07-23T23:59:52.853
32,0.7,0.2,2,done,2026-07-23T23:59:52.861
32,0.7,0.3,2,done,2026-07-23T23:59:52.879
32,0.7,0.4,2,done,2026-07-23T23:59:53.129
48,0.7,0.0,2,done,2026-07-23T23:59:53.373
48,0.7,0.1,2,done,2026-07-23T23:59:53.569
48,0.7,0.2,2,done,2026-07-23T23:59:54.278
48,0.7,0.3,2,done,2026-07-23T23:59:54.416
48,0.7,0.4,2,done,2026-07-23T23:59:54.761
64,0.7,0.0,2,done,2026-07-23T23:59:55.591
64,0.7,0.1,2,done,2026-07-23T23:59:56.048
64,0.7,0.2,2,done,2026-07-23T23:59:56.551
64,0.7,0.3,2,done,2026-07-23T23:59:57.315
64,0.7,0.4,2,done,2026-07-23T23:59:58.489
96,0.7,0.0,2,done,2026-07-24T00:00:00.760
96,0.7,0.1,2,done,2026-07-24T00:00:02.560
96,0.7,0.2,2,done,2026-07-24T00:00:05.325
96,0.7,0.3,2,done,2026-07-24T00:00:07.684
96,0.7,0.4,2,done,2026-07-24T00:00:10.232
128,0.7,0.0,2,done,2026-07-24T00:00:13.284
128,0.7,0.1,2,done,2026-07-24T00:00:17.378
128,0.7,0.2,2,done,2026-07-24T00:00:21.032
128,0.7,0.3,2,done,2026-07-24T00:00:22.683
128,0.7,0.4,2,done,2026-07-24T00:00:26.518
32,0.8,0.0,2,done,2026-07-24T00:00:26.529
32,0.8,0.1,2,done,2026-07-24T00:00:26.549
32,0.8,0.2,2,done,2026-07-24T00:00:26.558
32,0.8,0.3,2,done,2026-07-24T00:00:26.572
32,0.8,0.4,2,done,2026-07-24T00:00:26.622
48,0.8,0.0,2,done,2026-07-24T00:00:27.231
48,0.8,0.1,2,done,2026-07-24T00:00:27.294
48,0.8,0.2,2,done,2026-07-24T00:00:27.422
48,0.8,0.3,2,done,2026-07-24T00:00:27.596
48,0.8,0.4,2,done,2026-07-24T00:00:27.753
64,0.8,0.0,2,done,2026-07-24T00:00:28.102
64,0.8,0.1,2,done,2026-07-24T00:00:29.693
64,0.8,0.2,2,done,2026-07-24T00:00:29.986
64,0.8,0.3,2,done,2026-07-24T00:00:30.275
64,0.8,0.4,2,done,2026-07-24T00:00:30.833
96,0.8,0.0,2,done,2026-07-24T00:00:32.299
96,0.8,0.1,2,done,2026-07-24T00:00:33.989
96,0.8,0.2,2,done,2026-07-24T00:00:35.844
96,0.8,0.3,2,done,2026-07-24T00:00:37.267
96,0.8,0.4,2,done,2026-07-24T00:00:38.118
128,0.8,0.0,2,done,2026-07-24T00:00:40.835
128,0.8,0.1,2,done,2026-07-24T00:00:42.435
128,0.8,0.2,2,done,2026-07-24T00:00:45.674
128,0.8,0.3,2,done,2026-07-24T00:00:48.734
128,0.8,0.4,2,done,2026-07-24T00:00:52.586
32,0.9,0.0,2,done,2026-07-24T00:00:52.595
32,0.9,0.1,2,done,2026-07-24T00:00:52.606
32,0.9,0.2,2,done,2026-07-24T00:00:52.624
32,0.9,0.3,2,done,2026-07-24T00:00:52.641
32,0.9,0.4,2,done,2026-07-24T00:00:52.672
48,0.9,0.0,2,done,2026-07-24T00:00:52.896
48,0.9,0.1,2,done,2026-07-24T00:00:53.591
48,0.9,0.2,2,done,2026-07-24T00:00:53.756
48,0.9,0.3,2,done,2026-07-24T00:00:53.946
48,0.9,0.4,2,done,2026-07-24T00:00:54.216
64,0.9,0.0,2,done,2026-07-24T00:00:54.708
64,0.9,0.1,2,done,2026-07-24T00:00:55.030
64,0.9,0.2,2,done,2026-07-24T00:00:57.381
64,0.9,0.3,2,done,2026-07-24T00:00:57.611
64,0.9,0.4,2,done,2026-07-24T00:00:57.969
96,0.9,0.0,2,done,2026-07-24T00:00:59.309
96,0.9,0.1,2,done,2026-07-24T00:01:00.976
96,0.9,0.2,2,done,2026-07-24T00:01:03.607
96,0.9,0.3,2,done,2026-07-24T00:01:06.974
96,0.9,0.4,2,done,2026-07-24T00:01:08.714
128,0.9,0.0,2,done,2026-07-24T00:01:11.299
128,0.9,0.1,2,done,2026-07-24T00:01:14.941
128,0.9,0.2,2,done,2026-07-24T00:01:18.089
128,0.9,0.3,2,done,2026-07-24T00:01:20.668
128,0.9,0.4,2,done,2026-07-24T00:01:22.987
32,1.0,0.0,2,done,2026-07-24T00:01:22.997
32,1.0,0.1,2,done,2026-07-24T00:01:23.011
